,ID,縣市,土地面積,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,主建物面積,陽台面積,附屬建物面積,經度,緯度,站點級別,與大眾交通最短距,與國小最短距,國小總人數,與國中最短距,國中總人數,與高中最短距,高中總人數,與大學最短距,大學總人數,與atm最短距,與post最短距,與bank最短距,與腳踏車站最短距,與醫療機構最短距,與便利超商最短距,<0.5的超商數量,<0.5公車站數,與政府最短距,縣市_區域,與百貨最短距,與高鐵最短距,人口密度,老化指數,平均收入
6243,PR-368,6,-1.2261577870620315,6,15,10,0,0,2.083333333333333,-0.7762697912842059,-0.4362145009239973,1.0,-1.100871706952132,-0.64899085633408,-0.0776124466522598,120.30763567196377,22.630078080705708,3.0,0.39,0.38,85.0,0.73,174.0,0.52,541.0,1.55,7147.0,0.03,0.41,0.08,0.18,0.06,0.03,13.0,38.0,1.15,108,4.47,6.45,924.21,161.78,0.004997252
6244,PR-369,0,-1.131802022658162,2,24,0,4,0,1.4166666666666667,-0.7096233568454586,-0.8193256863726953,0.0,-0.9874322935488086,-0.9356549292609142,0.163658905697121,121.49757767336624,25.039067156124467,2.0,0.5,0.4,36.0,0.78,164.0,1.12,280.0,1.7,8114.0,0.08,0.4,0.22,0.14,0.1,0.08,18.0,64.0,6.74,30,2.2,2.18,9126.87,166.1,0.006299707
6245,PR-370,7,0.6938834809525214,5,13,10,4,0,22.0,0.2285975693482843,-0.8193256863726953,0.0,-0.0807656602379587,-0.2480024209899966,-0.4384519028208025,120.21226335136902,22.97889616483312,1.0,2.03,0.67,54.0,0.94,440.0,0.94,360.0,0.79,5939.0,0.04,0.53,0.35,0.3,0.1,0.04,7.0,24.0,3.09,34,1.7,9.63,845.48,156.53,0.00456428
6246,PR-371,1,-0.4893849104535182,13,16,2,4,0,29.33333333333333,-0.1258925172785005,-0.8193256863726953,0.0,0.0869888837724415,0.3082623871894552,0.0077933417899989,121.4283840638256,25.01812068372762,2.0,1.36,0.33,566.0,0.99,442.0,1.24,325.0,1.78,25760.0,0.01,0.18,0.07,0.12,0.09,0.01,15.0,104.0,3.73,64,3.96,3.59,1946.61,147.86,0.005073707
6247,PR-372,6,-1.2565842765514097,15,15,10,4,0,6.416666666666667,-0.7515646474836357,-0.8193256863726953,0.0,-1.041747424155886,-1.1165263086076072,-0.0989638937628244,120.31419547017298,22.68625894440368,1.0,0.59,0.43,347.0,0.58,675.0,0.65,487.0,1.84,8683.0,0.07,0.31,0.1,0.05,0.03,0.06,10.0,73.0,7.31,107,0.51,0.55,924.21,161.78,0.004997252
6248,PR-373,1,-0.6094325526331736,9,15,10,4,0,8.333333333333334,-0.7481174181161142,0.0812945600651713,1.0,-1.0960625547629634,-0.270184759966478,0.1145505773428226,121.44551301626244,25.086052263680035,2.0,2.03,0.9,228.0,1.04,342.0,2.84,452.0,3.31,5254.0,0.18,0.77,0.46,0.06,0.66,0.15,6.0,59.0,8.46,60,8.23,8.22,1946.61,147.86,0.005073707
6249,PR-374,0,-1.0166331935640858,3,5,4,4,1,38.75,-0.7044525127941766,-0.8193256863726953,0.0,-0.1820407475157389,-0.7906165590300754,-0.4384519028208025,121.5409035584738,24.99168071836123,2.0,0.13,0.24,121.0,0.26,429.0,0.32,210.0,0.46,11434.0,0.01,0.08,0.03,0.09,0.03,0.07,17.0,150.0,5.64,28,5.53,6.71,9126.87,166.1,0.006299707
6250,PR-375,1,-0.3295376896052919,2,7,2,4,2,21.33333333333333,-0.4717645304864816,-0.8193256863726953,0.0,-0.53226018340929,-0.3862154561511488,-0.4384519028208025,121.43570254423535,25.18221208640604,4.0,1.37,0.52,261.0,0.68,296.0,0.68,372.0,0.79,5010.0,0.15,0.98,0.69,0.11,0.73,0.34,4.0,106.0,19.15,71,18.89,17.02,1946.61,147.86,0.005073707
6251,PR-376,6,-0.8187168105111401,14,18,2,4,0,28.416666666666668,0.3802756615192262,-0.8193256863726953,0.0,1.2219488004161636,-0.2906607651755374,-0.4384519028208025,120.31735908405878,22.66842790333465,3.0,1.43,0.69,246.0,1.41,610.0,1.44,487.0,0.28,8683.0,0.18,0.38,0.13,0.19,0.01,0.28,8.0,88.0,5.35,99,1.46,2.34,924.21,161.78,0.004997252
6252,PR-377,1,-0.5194268629509294,6,12,2,4,0,14.25,-0.2143714043782164,-0.8193256863726953,0.0,-0.2581385086266963,-0.8691079123314706,0.3643625085364285,121.48478585142036,25.074770454619912,2.0,0.28,0.5,243.0,0.27,681.0,0.41,257.0,6.29,11486.0,0.06,0.66,0.28,0.16,0.09,0.05,21.0,95.0,7.26,58,6.89,4.4,1946.61,147.86,0.005073707
6253,PR-378,1,-0.2260491716422095,6,12,10,4,0,1.0833333333333333,-0.6699802191189624,0.1894307817644006,1.0,-1.0392014024086793,-0.3418507781981864,0.1487128927197255,121.47080159247729,25.093566797385392,2.0,0.65,0.84,428.0,0.8,444.0,0.8,452.0,5.86,5254.0,0.01,0.62,0.54,0.07,0.22,0.01,11.0,35.0,9.08,73,8.76,6.87,1946.61,147.86,0.005073707
6254,PR-379,12,-0.6023907189677804,9,17,2,4,0,26.916666666666668,-0.6406787694950307,-0.8193256863726953,0.0,-0.4903922702330011,-0.3196684392217052,-0.0690718678080337,121.71856139568284,25.130499409239263,1.0,2.19,0.96,53.0,0.52,267.0,1.26,121.0,2.36,4008.0,0.13,0.5,1.09,6.07,0.18,0.13,2.0,0.0,2.62,46,18.46,14.13,2723.18,196.12,0.004434616
6255,PR-380,6,-0.3289128169933457,17,27,2,4,0,9.166666666666666,1.7718072495420338,-0.0422896933053764,1.0,1.2304355395735194,0.958375552577097,0.5970932820415835,120.2888028929928,22.66392381182751,4.0,0.28,0.52,65.0,0.42,116.0,0.42,180.0,3.04,6528.0,0.16,0.34,0.26,0.08,0.15,0.16,9.0,49.0,5.38,115,1.63,3.4,924.21,161.78,0.004997252
6256,PR-381,1,-1.3758147776231358,4,18,2,4,0,28.666666666666668,-1.5921140749309388,-0.8193256863726953,0.0,-1.7967843178553111,-1.208668332048375,-0.4384519028208025,121.44664056554257,25.049800959776352,2.0,1.37,0.24,529.0,0.5,629.0,1.63,212.0,2.25,25760.0,0.07,0.3,0.08,0.21,0.07,0.07,20.0,99.0,4.58,64,4.42,4.33,1946.61,147.86,0.005073707
6257,PR-382,2,-0.8737536674863975,2,8,2,4,2,24.83333333333333,-0.4206306282015806,-0.8193256863726953,0.0,-0.3452690306422162,0.1529860143540867,-0.4384519028208025,121.012816905104,24.78312945432273,4.0,1.07,0.16,138.0,0.33,405.0,0.76,223.0,1.6,20412.0,0.07,0.88,0.22,0.53,0.17,0.03,9.0,17.0,5.15,75,4.9,3.93,4344.33,87.03,0.006841633
6258,PR-383,1,-0.807541204182103,14,14,2,4,0,18.83333333333333,-0.3827111051588451,0.5756315735473622,1.0,-0.5879897705425935,1.7978917661485396,-0.4384519028208025,121.5234092844113,24.979889316130667,2.0,0.66,1.32,82.0,1.42,215.0,1.0,545.0,1.39,4392.0,0.08,0.65,0.98,0.15,0.03,0.09,5.0,35.0,6.9,63,6.84,7.11,1946.61,147.86,0.005073707
6259,PR-384,4,1.3958557597880337,3,14,10,4,0,6.916666666666667,2.4353989027899043,3.198707351337238,3.0,1.930308628750132,1.110239257877622,0.6547421892401084,120.68915006943176,24.18945421217509,4.0,1.64,0.37,279.0,1.3,199.0,1.6,360.0,3.82,7243.0,0.15,1.12,0.15,0.14,0.26,0.21,3.0,23.0,5.27,2,4.69,11.33,1270.7,111.76,0.005039031
6260,PR-385,1,0.4874111498283131,11,15,2,4,0,29.58333333333333,0.5060995334337576,1.7527715869018292,1.0,0.7226456466583945,0.8491701914621124,0.1401723138754996,121.44901702453492,25.043781049608203,2.0,0.91,0.25,277.0,0.49,466.0,0.92,212.0,1.94,25760.0,0.07,0.48,0.34,0.24,0.12,0.07,21.0,77.0,3.87,64,3.72,3.63,1946.61,147.86,0.005073707
6261,PR-386,1,-1.2658612314826103,10,24,0,4,0,5.25,-1.2950778110961778,-0.8193256863726953,0.0,-1.5778264475955304,-0.8656952447966273,-0.1459370774060666,121.4480072399565,25.057705494162587,2.0,1.27,0.17,171.0,0.62,629.0,1.84,498.0,2.88,5254.0,0.03,0.51,0.25,0.19,0.46,0.03,8.0,62.0,5.35,64,5.16,5.11,1946.61,147.86,0.005073707
6262,PR-387,0,-1.3105396232367603,10,12,5,4,0,16.833333333333332,-1.5191477199850691,-0.016028039464135,1.0,-1.7382258176695558,-1.089224968328861,-0.4384519028208025,121.52781937340616,25.06385320754121,2.0,0.18,0.18,210.0,0.29,70.0,0.21,348.0,0.71,3980.0,0.13,0.24,0.18,0.09,0.12,0.13,39.0,175.0,4.7,19,2.01,2.08,9126.87,166.1,0.006299707
6263,PR-388,4,-0.0351505886926586,8,13,10,4,0,37.583333333333336,-0.5625415704978787,-0.8193256863726953,0.0,-0.102548290741839,0.0949706662617512,0.0291447889005635,120.6890280888055,24.15448353769769,4.0,1.06,0.3,141.0,0.29,243.0,0.57,1710.0,0.66,3121.0,0.14,0.33,0.36,0.08,0.06,0.13,13.0,169.0,4.36,1,2.76,8.75,1270.7,111.76,0.005039031
6264,PR-389,1,-0.0248882577195429,9,15,2,4,0,27.08333333333333,0.3486760589836132,0.7826351979430296,1.0,0.5582857983109362,0.4703640950945104,0.0077933417899989,121.46439900152822,25.13345486236228,2.0,0.62,1.41,104.0,1.42,158.0,1.42,210.0,4.83,24534.0,0.1,0.74,0.51,0.3,0.26,0.02,8.0,17.0,13.5,71,13.2,10.88,1946.61,147.86,0.005073707
6265,PR-390,2,0.2566408875241981,5,5,2,4,1,39.41666666666666,-0.776844329512126,-0.8193256863726953,0.0,-0.0963246820264448,-1.6420771089734696,-0.4384519028208025,120.9857075054298,24.80094281588084,4.0,0.89,1.33,97.0,0.89,85.0,0.46,504.0,1.23,17488.0,0.2,0.25,0.28,0.33,0.03,0.19,9.0,31.0,1.81,75,1.54,5.65,4344.33,87.03,0.006841633
6266,PR-391,0,-0.1890134526034005,5,5,5,4,1,44.25,-0.2310330129879032,-0.8193256863726953,0.0,0.4581422762541374,-0.2633594248967913,-0.4384519028208025,121.57641387182672,25.050581889660787,1.0,0.14,0.26,112.0,0.34,154.0,1.08,328.0,3.18,6137.0,0.05,0.24,0.13,0.05,0.05,0.04,21.0,191.0,1.87,29,1.8,3.08,9126.87,166.1,0.006299707
6267,PR-392,1,-0.54495050579273,11,14,2,4,0,15.166666666666666,-0.1528958139907514,-0.8193256863726953,0.0,-0.3226377262226007,-0.2599467573619481,-0.2420185894036076,121.42742582728108,25.018945007482422,2.0,1.23,0.26,566.0,0.86,442.0,1.12,325.0,1.72,25760.0,0.05,0.05,0.12,0.21,0.06,0.12,18.0,107.0,3.85,64,4.07,3.7,1946.61,147.86,0.005073707
6268,PR-393,3,1.8118286508481904,10,12,2,4,0,9.166666666666666,1.9648520941232328,2.2702806478909983,2.0,1.3939467140052415,0.7792105069978255,1.8055851884995435,121.02206890271329,24.81270615777055,4.0,1.82,0.38,252.0,0.83,518.0,1.35,244.0,6.54,11377.0,0.15,0.66,0.4,2.11,0.13,0.19,5.0,2.0,1.96,80,4.73,2.03,406.65,86.71,0.006554591
6269,PR-394,1,-0.8435915471789966,12,14,2,4,0,21.416666666666668,-0.2063278691873332,1.312502684269253,1.0,-0.0745420515225645,0.1410416779821352,-0.4384519028208025,121.54369071449794,24.965461854461555,2.0,0.33,0.96,309.0,0.15,271.0,0.86,160.0,1.46,4392.0,0.05,0.48,0.27,0.07,0.06,0.17,14.0,139.0,9.49,63,9.44,9.56,1946.61,147.86,0.005073707
6270,PR-395,0,-0.4229321115292441,2,15,2,4,0,10.75,0.4394530989950104,-0.0639169376452222,1.0,0.2414475364363182,0.1683430182608813,0.027009644189507,121.51694151322654,25.02255183991828,1.0,0.73,0.37,69.0,0.65,147.0,0.41,169.0,1.14,16164.0,0.24,0.24,0.31,0.22,0.31,0.24,7.0,62.0,5.08,20,2.93,2.82,9126.87,166.1,0.006299707
6271,PR-396,2,-0.5484353722824297,9,9,5,4,2,26.666666666666668,0.1223079971830409,-0.8193256863726953,1.0,0.2391844059943563,-1.3844207100928034,-0.4384519028208025,120.97268137818992,24.799487396314703,1.0,0.27,0.42,97.0,0.72,169.0,0.66,665.0,2.45,17488.0,0.01,0.48,0.05,0.16,0.12,0.01,14.0,65.0,0.89,75,1.3,6.98,4344.33,87.03,0.006841633
6272,PR-397,1,-0.9101404803512622,9,15,2,4,0,24.166666666666668,-0.6906635953240907,-0.8193256863726953,0.0,-0.6669164447060028,-0.6797048641476695,-0.4384519028208025,121.49066827807944,25.07334274620417,2.0,0.52,0.27,243.0,0.21,207.0,0.21,257.0,6.35,11486.0,0.13,0.26,0.17,0.16,0.04,0.13,17.0,82.0,7.3,58,6.91,3.87,1946.61,147.86,0.005073707
6273,PR-398,1,-0.5842213460973462,4,15,10,4,0,0.0833333333333333,-0.49244790669161,0.224961254608433,1.0,-0.9396236629623708,-0.2224074144786721,0.9045541204337146,121.63501632107877,25.06619600935255,4.0,1.23,0.38,60.0,0.49,177.0,0.49,114.0,7.63,4850.0,0.07,0.48,0.26,0.05,0.05,0.07,20.0,132.0,18.17,69,17.82,12.07,1946.61,147.86,0.005073707
6274,PR-399,1,0.2428215893753885,12,13,10,4,0,5.333333333333333,-0.016730253973656,0.3346422794747942,1.0,-0.4295706396052844,-0.3793901210814622,1.1970689458484507,121.43391799874678,24.99985863565169,4.0,1.19,1.17,181.0,0.41,620.0,1.59,781.0,1.53,5614.0,0.16,0.31,0.94,0.15,0.15,0.16,5.0,52.0,3.4,65,3.77,3.4,1946.61,147.86,0.005073707
6275,PR-400,0,0.894948260627196,2,5,2,4,1,39.25,-0.1977097957685296,-0.8193256863726953,0.0,0.3215057758207083,-0.4083977951276299,-0.4384519028208025,121.5294379751192,25.101422121138363,2.0,0.71,0.36,98.0,0.64,22.0,0.64,241.0,1.82,15458.0,0.04,0.12,0.38,0.07,0.11,0.03,9.0,71.0,7.92,25,5.99,6.08,9126.87,166.1,0.006299707
6276,PR-401,6,-0.740054962091918,9,15,2,4,0,9.333333333333334,-0.4102889400990166,-0.0098488267956075,1.0,-0.8440064017894947,-0.5397854952190957,-0.0092878158984526,120.29113004908292,22.654144918452488,4.0,0.98,0.35,288.0,0.49,421.0,1.12,205.0,2.21,6528.0,0.05,1.19,0.76,0.22,0.07,0.05,6.0,64.0,4.31,115,2.16,4.2,924.21,161.78,0.004997252
6277,PR-402,1,-0.592368723614644,9,14,2,4,0,27.33333333333333,-0.7739716383725251,-0.8193256863726953,0.0,-0.5766741183327857,-0.7394265460074265,-0.4384519028208025,121.45498434561476,24.987697900766936,2.0,0.68,0.86,398.0,1.21,417.0,0.7,738.0,0.85,4223.0,0.04,0.49,0.04,0.06,0.05,0.05,14.0,48.0,2.88,62,3.27,3.06,1946.61,147.86,0.005073707
6278,PR-403,12,-0.0131598794645536,14,16,10,4,0,25.75,-0.009835795238613,-0.8193256863726953,0.0,-0.0162664426420547,0.1017960013314379,-0.4384519028208025,121.7205490296934,25.127844622846705,1.0,2.08,1.0,53.0,0.16,267.0,1.25,121.0,2.57,4008.0,0.1,0.49,0.75,6.42,0.17,0.1,5.0,0.0,2.47,46,18.46,14.12,2723.18,196.12,0.004434616
6279,PR-404,5,0.7793948945411531,7,7,2,4,2,31.25,0.6485850139579751,0.5246530690320114,1.0,1.4977678230302287,1.245039625503931,-0.4384519028208025,121.24136910051284,24.95351973226812,1.0,1.58,0.45,237.0,1.21,688.0,2.46,1775.0,0.45,16529.0,0.05,0.41,0.97,0.2,0.17,0.05,15.0,36.0,7.45,82,8.36,7.15,1868.59,101.89,0.005368094
6280,PR-405,1,-1.5019909781122631,13,41,2,5,0,24.916666666666668,-1.3473607898369189,-0.8193256863726953,0.0,-1.5054062734527605,-0.6199831822879123,-0.4384519028208025,121.51683615018524,24.99264199237292,2.0,0.08,0.36,82.0,1.12,320.0,0.42,432.0,1.58,3500.0,0.05,0.54,0.12,0.14,0.04,0.05,21.0,88.0,5.67,59,5.55,5.85,1946.61,147.86,0.005073707
6281,PR-406,6,-1.196860874986556,14,23,2,4,0,24.0,-0.654467686965116,-0.8193256863726953,0.0,-0.6986002708934645,-0.8776395811685787,-0.4384519028208025,120.31917441392906,22.6890164804262,1.0,1.06,0.48,281.0,0.39,216.0,0.87,487.0,2.08,8683.0,0.02,0.5,0.52,0.12,0.19,0.02,4.0,36.0,7.65,107,0.9,1.03,924.21,161.78,0.004997252
6282,PR-407,7,-0.5792223652017768,17,19,10,4,0,13.833333333333334,0.7508528185277771,0.5370114943690659,1.0,0.6810606247873509,0.3116750547242984,-0.4384519028208025,120.22453460219783,23.01095054881175,4.0,0.92,0.64,163.0,0.18,0.0,0.18,87.0,1.44,22406.0,0.05,0.65,0.31,1.15,0.03,0.05,9.0,18.0,4.61,33,1.9,11.45,845.48,156.53,0.00456428
6283,PR-408,6,0.6160628072032271,11,15,4,4,0,7.916666666666667,1.3276891993596924,-0.0453792996396401,1.0,0.8191115817470058,0.8935348694150748,0.1892806422297988,120.32327527495036,22.59295628169846,2.0,0.52,0.44,147.0,0.31,422.0,0.29,216.0,3.42,7147.0,0.17,0.42,0.58,0.06,0.21,0.17,5.0,31.0,3.28,113,8.81,10.67,924.21,161.78,0.004997252
6284,PR-409,5,-0.5919120859366834,21,23,2,4,0,2.4166666666666665,-0.5734577968283631,0.779545591608766,1.0,-0.7945004233715857,-1.121645309909872,0.4412277181344616,121.29700598377482,25.00358059717496,1.0,2.33,0.44,65.0,0.44,27.0,1.18,0.0,2.86,5108.0,0.08,0.49,0.09,0.26,0.1,0.08,10.0,57.0,1.25,87,2.28,8.43,1868.59,101.89,0.005368094
6285,PR-410,0,0.1703123328276368,9,11,2,4,0,22.58333333333333,1.3759504105049922,-0.1936804036842974,1.0,1.2881453658435391,-0.7803785564255458,-0.4384519028208025,121.5324343681196,25.03771852652936,1.0,0.54,0.25,228.0,0.63,442.0,0.63,432.0,0.59,13621.0,0.03,0.34,0.08,0.26,0.02,0.07,18.0,156.0,3.23,20,1.14,1.94,9126.87,166.1,0.006299707
6286,PR-411,0,2.008687557173227,3,7,2,4,2,25.916666666666668,0.4388785607670896,1.2414417385811882,1.0,0.7919540164434673,0.8474638576946908,0.6910396493280679,121.57635561442042,25.078379356945604,2.0,0.22,0.4,224.0,0.37,568.0,0.15,495.0,1.1,541.0,0.08,0.31,0.19,0.1,0.01,0.08,25.0,286.0,4.68,22,4.73,4.13,9126.87,166.1,0.006299707
6287,PR-412,5,-0.1337843271321595,7,15,2,4,0,7.583333333333333,0.0573851774280539,0.9989076413414884,1.0,-0.1823236388209838,0.1427480117495571,-0.4384519028208025,121.28475587788884,24.99283377553189,1.0,2.97,1.41,65.0,0.73,597.0,0.58,780.0,2.54,5108.0,0.21,0.66,0.5,0.26,0.26,0.21,8.0,44.0,1.64,87,2.96,7.47,1868.59,101.89,0.005368094
6288,PR-413,5,0.1627657943602873,13,14,10,4,0,7.083333333333333,0.2079141931431556,0.7378359060962061,1.0,0.0321079705548738,-0.1780427365257097,-0.1117747620291633,121.22896660273864,24.97286907448698,2.0,1.01,0.69,91.0,0.24,86.0,0.73,1775.0,1.96,9013.0,0.11,0.82,0.82,0.17,0.64,0.55,0.0,3.0,7.6,82,8.77,4.69,1868.59,101.89,0.005368094
6289,PR-414,6,-0.5969591339562486,8,11,2,4,0,28.416666666666668,-0.5073859006175363,-0.2709205620408897,1.0,-0.4007157264702743,-0.2770100950361643,-0.4384519028208025,120.29879353416688,22.67591537695415,4.0,0.33,0.5,226.0,0.65,114.0,1.03,468.0,2.18,8683.0,0.09,0.31,0.36,0.25,0.08,0.07,6.0,50.0,6.3,107,0.8,1.72,924.21,161.78,0.004997252
6290,PR-415,1,-0.9443642726363132,13,25,2,4,0,27.416666666666668,0.3745302792400239,0.9757355938345106,1.0,0.8462691470505448,0.0830263298897998,0.0633071042774673,121.47011514968612,25.025406711885665,1.0,0.32,0.87,293.0,0.42,466.0,1.02,234.0,0.69,11486.0,0.05,0.49,0.05,0.13,0.07,0.07,28.0,145.0,1.58,65,1.21,1.42,1946.61,147.86,0.005073707
6291,PR-416,1,-1.1749663000064423,28,28,10,5,0,2.1666666666666665,-0.9538021037115584,0.852151340463963,1.0,-1.0652274024912372,-1.1438276488863532,-0.4384519028208025,121.5057671224522,25.01344477725218,1.0,0.98,0.59,450.0,0.41,268.0,0.41,380.0,3.58,3500.0,0.15,0.68,0.35,0.11,0.13,0.15,9.0,43.0,4.13,68,3.86,4.0,1946.61,147.86,0.005073707
6292,PR-417,5,1.261604282467602,7,7,2,4,2,18.5,-0.0259228656203796,0.9757355938345106,1.0,0.2445593407940153,-0.0312980325274495,0.3536867849811466,121.3675685557644,25.051669824586007,2.0,1.04,0.25,164.0,0.36,312.0,5.01,276.0,2.47,2643.0,0.02,0.67,0.38,0.12,0.12,0.02,9.0,22.0,9.35,92,8.74,16.07,1868.59,101.89,0.005368094
6293,PR-418,3,0.0298361629497413,13,23,2,4,0,9.583333333333334,2.4681475817813583,0.9263018924862916,2.0,2.312494782136389,0.9549628850422538,0.9429867252327314,121.02323769485848,24.82098521054612,4.0,2.2,0.36,361.0,0.64,518.0,0.87,244.0,5.82,11377.0,0.14,0.63,0.06,2.64,0.19,0.14,10.0,16.0,1.33,80,4.98,2.37,406.65,86.71,0.006554591
6294,PR-419,1,-0.0998970047150796,4,5,2,4,1,36.833333333333336,-0.34536612034403,-0.8193256863726953,0.0,0.1845863840820339,0.8986538707173399,-0.4384519028208025,121.48060008605404,25.0664782214046,2.0,1.25,0.31,127.0,0.09,230.0,0.26,269.0,5.28,11486.0,0.03,0.09,0.12,0.06,0.07,0.03,15.0,57.0,6.26,58,5.89,4.2,1946.61,147.86,0.005073707
6295,PR-420,5,-0.5045020209502156,15,15,2,4,0,2.5,-0.3907546403497286,0.4211512568341775,1.0,-0.5551743791341509,-0.6455781887992368,-0.4384519028208025,121.28905642353811,24.99760146140612,1.0,2.67,0.79,65.0,0.22,597.0,1.15,780.0,2.46,5108.0,0.15,0.96,0.66,0.23,0.17,0.35,2.0,27.0,1.31,87,2.65,7.75,1868.59,101.89,0.005368094
6296,PR-421,6,-0.5547081319638892,8,11,2,4,0,25.0,-0.8101675467314996,-0.3512503267317458,1.0,-0.8943610541231395,-0.4442308042434843,-0.4384519028208025,120.3368339846487,22.60892503897981,4.0,1.1,0.32,189.0,0.62,107.0,0.77,125.0,2.3,7147.0,0.09,0.19,0.29,0.2,0.15,0.09,9.0,52.0,2.85,102,7.62,9.25,924.21,161.78,0.004997252
6297,PR-422,16,1.4785312130609096,3,10,10,4,2,4.5,1.2415084651716572,-0.399139224912833,1.0,1.019115734555359,0.8696461966711722,-0.4384519028208025,120.88468102224516,24.682894179397948,1.0,0.6,0.29,64.0,0.9,292.0,1.02,434.0,5.57,3784.0,0.23,0.31,0.68,6.74,0.53,0.23,4.0,0.0,14.62,95,2.08,10.45,293.98,157.36,0.005120673
6298,PR-423,5,0.1462787708297079,8,15,2,4,0,23.166666666666668,0.0102730427385947,0.9649219716645876,1.0,0.1161266882126966,0.7280204939751768,-0.4384519028208025,121.28658341853728,24.98635695984252,1.0,2.78,1.79,65.0,1.19,597.0,0.17,780.0,2.64,8799.0,0.04,0.51,0.32,0.13,0.12,0.18,8.0,39.0,1.63,87,2.78,7.89,1868.59,101.89,0.005368094
6299,PR-424,12,2.112969182682241,4,7,2,4,2,25.0,-0.2235640160249405,-0.8193256863726953,0.0,-0.2176850519766332,0.1666366844934597,-0.4384519028208025,121.74812304691716,25.08316503675965,5.0,2.26,1.67,66.0,1.43,142.0,2.97,78.0,5.66,1924.0,1.0,2.08,1.64,6.52,1.53,0.99,0.0,0.0,5.49,47,18.93,14.61,2723.18,196.12,0.004434616
6300,PR-425,7,-0.3981775426713774,2,9,2,4,2,4.5,-0.6314861578483069,1.0699685870295532,1.0,-0.8267500321695379,-0.8042672291694485,-0.4384519028208025,120.24492968682527,23.0009443536596,4.0,2.93,0.57,64.0,0.56,181.0,0.56,105.0,0.91,9970.0,0.17,1.02,0.58,0.92,0.13,0.17,1.0,38.0,6.23,40,3.17,9.44,845.48,156.53,0.00456428
6301,PR-426,0,0.8033082887290928,2,7,2,4,2,33.0,0.7117842190292012,0.6652301572410093,1.0,0.863808407975747,0.623934134162457,0.3472813508479774,121.5592946348426,25.03231135606069,1.0,0.44,0.33,106.0,0.62,0.0,0.62,0.0,0.81,6137.0,0.04,0.32,0.04,0.05,0.0,0.05,25.0,148.0,0.79,21,0.95,4.61,9126.87,166.1,0.006299707
6302,PR-427,0,1.2632625982454588,2,4,4,4,1,51.0,-0.2706761507143997,-0.8193256863726953,0.0,0.3752551238172951,0.4840147652338835,-0.4384519028208025,121.53119291399938,25.03247764968127,1.0,0.29,0.35,203.0,0.25,728.0,0.75,375.0,0.8,16164.0,0.08,0.29,0.1,0.16,0.07,0.1,19.0,149.0,3.4,27,1.55,2.25,9126.87,166.1,0.006299707
6303,PR-428,0,-1.1349504192798907,6,10,2,4,2,33.0,-0.8021240115406164,-0.8193256863726953,0.0,-0.7263236188074937,0.0830263298897998,-0.4384519028208025,121.51261661969708,25.05715346995782,2.0,0.68,0.32,109.0,0.3,91.0,0.3,269.0,1.45,3980.0,0.04,0.33,0.11,0.14,0.08,0.05,25.0,165.0,5.66,26,1.0,1.11,9126.87,166.1,0.006299707
6304,PR-429,1,-0.7168866083259147,13,14,10,4,0,0.1666666666666666,-0.9664419447258036,0.801172835948612,1.0,-1.2117650986082482,-0.9100599227495896,0.0227393547673942,121.45828052931496,24.976357373713352,2.0,1.38,1.47,398.0,0.98,417.0,0.97,738.0,0.51,4996.0,0.16,0.51,0.56,0.14,0.38,0.15,5.0,52.0,4.02,62,4.38,4.23,1946.61,147.86,0.005073707
6305,PR-430,4,-0.5128657005254946,20,24,10,4,0,0.4166666666666667,0.0344036483112449,0.6034380305557356,1.0,-0.1673303996429885,-0.3810964548488839,-0.4384519028208025,120.707216519973,24.148776871414825,4.0,0.96,0.75,0.0,1.06,423.0,2.02,339.0,1.98,3121.0,0.2,0.55,0.07,0.1,0.03,0.1,5.0,17.0,6.3,9,4.67,10.08,1270.7,111.76,0.005039031
6306,PR-431,0,0.0294275923957768,2,7,4,4,2,35.916666666666664,0.573320506100425,-0.8193256863726953,0.0,1.3438749529768428,0.7297268277425983,-0.4384519028208025,121.5380516387672,24.99418282313383,2.0,0.31,0.07,115.0,0.51,429.0,0.53,210.0,0.86,11434.0,0.13,0.35,0.28,0.33,0.1,0.13,14.0,112.0,5.52,28,5.27,6.35,9126.87,166.1,0.006299707
6307,PR-432,0,0.8473377743092982,2,4,2,4,1,44.583333333333336,-0.5544980353069954,-0.8193256863726953,0.0,-0.1045285298785552,0.5898074588140245,-0.4384519028208025,121.55877914974418,25.027889541458663,2.0,0.74,0.18,106.0,0.72,15.0,0.48,89.0,0.4,6137.0,0.06,0.66,0.19,0.1,0.19,0.06,22.0,151.0,1.23,21,1.3,4.77,9126.87,166.1,0.006299707
6308,PR-433,5,1.3870835096587897,4,13,10,4,0,7.583333333333333,1.348372575564821,1.0298037046841255,1.0,0.8171313426102897,1.0863505851337194,1.0945819997177406,121.21127373371888,24.96522110972163,2.0,1.02,0.81,247.0,0.94,203.0,0.35,690.0,1.95,12128.0,0.22,0.43,0.71,0.5,0.4,0.22,3.0,16.0,9.56,82,10.7,5.3,1868.59,101.89,0.005368094
